No.,Author,Comment
0,Hoài Long,"ánh người là không đúng. Nhưng cũng cần thông tin rõ hơn nguyên nhân. Việc tự ý thay khoá cổng trường, cổng chính của mấy trăm người ra vào, trong đó đa phần học sinh tiểu học...là một việc mà tôi nghĩ là nguy hiểm. Và thầy hiệu trường là người gánh trách nhiệm cho các sự việc xảy ra tại trường, vì sao ông ta lại không biết trước việc thay ổ khoá !?"
1,quangphu,iệu trưởng đánh người là sai nhưng hiệu phó sai trước.
2,dangthithuy15091966,hông phải cứ xin lỗi là xong. Thầy giáo nên cư xử đúng mực người thầy.
3,maithu.hien85,"ôi ghi nhận việc thầy hiệu trưởng nhận lỗi trước toàn trường, các thày cô và đặc biệt là trước các em học sinh"
4,honglong1176,"ôi trường văn hóa giáo dục mà lại có hành động không thể chấp nhận được, tại sao không xử dụng lời nói mà phải động thủ chân tay rồi ân hận."
5,nguyenquanghoe02,"ai nhân vật nhất nhì trường mà lại đánh nhau, vậy sao giáo dục được các em nhỏ, thật là một tấm gương xấu xí"
6,Haohoa Quyong (Đỗ Quốc Bảo),"ôi không đồng tình cách thày hành xử lúc nóng giận. Nhưng tôi đánh giá cao hành động xin lỗi công khai dưới cờ của thầy. Đó là 1 hành động văn minh, là bài học lớn cho các học trò của thầy và cho cả cái ngành giáo dục."
7,Van quyen Nguyen,ai thầy giáo còn như vậy ! Sao dạy được học sinh( bất kể là hoàn cảnh nào đi chăng nữa!)
8,Trang Quỳnh,"hỉ vì cái khóa mà chuyện bé xé ra to, nếu chưa gấp thì gọi điện lấy chìa khóa đến, nếu gấp thì phá khóa rồi thay cái khác sau, nhiều cách giải quyết mà sao phải cãi nhau, đồng nghiệp mà mâu thuẫn thì khó mà làm việc cùng nhau, nhà trường cũng chịu ảnh hưởng"
9,Brooke Le,"ôi thì thắc mắc lí do tại sao 7h kém 10 mà cổng trường lại khoá. Tuy rằng có sớm nhưng không phải không có học sinh đến sớm do nhà xa, bố mẹ phải đi làm sớm,... như thời tôi đi học cũng đến lớp bỏ cặp lại rồi đi ăn sáng"
10,Luc Nguyen,iệu trưởng mà hành xử côn đồ thế này thì sao giáo dục được học sinh.
11,Thanh18,"ất dễ để nói rằng sao ko kiềm chế từ trước để rồi giờ phải xin lỗi. Nhưng tôi thấy đây là hành động bộc phát, mỗi chúng ta cũng có những lúc ko kiềm chế được cảm xúc của mình. Quan trọng thầy đã nhận trách nhiệm và đưa ra lời xin lỗi."
12,galacuoi1992,ạo lực học đường đây mà !
13,Vô thường,"ư cách như vậy mà cũng được gọi là người "" thầy"". Nếu còn chút tự trọng thì nên xin lỗi và tự chọn hình thức kỷ luật nghiêm khắc để làm gương. Liên quan đến việc xin lỗi, thiết nghĩ người cần được xin lỗi đầu tiên phải là các em học sinh."
14,joker98376,"iệu trưởng còn đánh hiệu phó, dạy ai nghe , nói ai theo"
15,Vinh Nguyễn Quang,"ột chút thiếu kìm chế, hậu quả lớn cho cá nhân và cho cả xã hội. Cần làm rõ nguyên nhân, xử lý tật gốc, triệt để nguồn phát sinh mâu thuẫn dẫn đến hậu quả nghiêm trọng này."
16,lexuanthach5,ôi nghĩ thầy Hiệu trưởng xin lỗi như vậy là tốt rồi . Sự việc nên dừng lại ở đây . Cái chính là các em đã học được một bài học từ thầy Hiệu trưởng : Thầy biết lỗi và đã xin lỗi trước toàn trường . Bài học này quí giá cho các em hơn tất cả .
17,1808n02t3,hư này hai vị nên suy nghĩ lại về việc có nên công tác trong ngành giáo dục nữa hay không chứ không phải chỉ mỗi xin lỗi.
18,Đới Văn Thọ,hầy hiệu trưởng thế này thì còn dạy thế hệ trẻ sao đuọc nữa. 
19,truongconghung10101975,ành vi phi đạo đức
20,Dung Pham,ậy sao dạy học trò đây
21,Lương Văn Nguyễn,"àm hiệu trưởng rồi mà hành động vẫn không có 1 chút nhân văn nào, hành động mang tính côn đồ, thiếu giáo dục như vậy thì không xứng đáng. Việc cấp dưới có lỗi thì họp hội đồng nhà trường để mổ xẻ lỗi đó và ra quyết định chứ? Công tác bầu cán bộ là 1 vấn đề rất hệ trọng và cần nghiêm túc."
22,Giang Chu,ôi nghĩ nguyên nhân sâu sa chắc có mâu thuẫn từ trước rồi. Chứ k phải mỗi việc thay ổ khóa. Nên điều tra nguyên nhân đó thì hơn. Việc làm của cả hiệu trưởng và hiệu phó đều không chấp nhận được. Đặc biệt lại diễn ra ở trường ngay trước mặt các em học sinh. Các thầy sẽ dạy dỗ học sinh kiểu gì khi hành động thiếu kiềm chế và phản giáo dục đến vậy.
23,Thanh,iệc thầy hiệu phó làm nếu là sai thì chẳng có gì là nghiêm trọng còn việc làm của thầy hiệu trưởng mới thật sự là nghiêm trọng
24,quangminh0804,àm nhà giáo mà có mỗi chuyện cỏn con như thế này mà đi đánh người
