No.,Author,Comment
0,Gấu,"ơn cử như Bình dương, Tp HCM là đầu tàu về thu hút đầu tư nc ngoài mà giao thông quá í ẹ. Ko có nổi 1 con đường ra hồn liên kết từ Tp HCM thì làm sao thông thương nổi. Quá ách tắc và trì trệ quốc lộ 13."
1,thanhbthcantho,"iều đáng lo khi thành phố Hà Nội và TPHCM liên tục giảm, một số tỉnh chỉ số cạnh tranh tăng cũng không giúp GDP cả nước được cải thiện"
2,chip cô đơn,hông bất ngờ lắm. Ai ở tp đủ lâu sẽ hiểu.
3,tapha28,"ên vậy để san sẻ nguồn sống ở nhiều nơi, chứ tập trung vào 1 chỗ riết dân ngày càng tăng nhưng nguồn sống thì thiếu."
4,phuot73,hắc tại giá cả sinh hoạt tăng cao quá mà!
5,8bkmjdxbfs,iều kiện hạ tầng giao thông cũng đóng góp đáng kể cho bxh này
6,mail.zangpo,"uảng Ninh, Hải Phòng, Bắc Ninh, Bắc Giang đang nổi lên, phát triển mạnh mẽ."
7,itsolutionco,"ậy mới nói, không gì là mãi mãi, phải vận động và đổi mới liên tục. Đứng im có nghĩa là lùi chứ không phải đứng im là ổn định...."
8,trannhatky1980,ạ tầng tphcm rất kém. ql1A đi qua tphcm ngày nào cũng kẹt xe 3km có rất nhiều điểm như vậy. còn đường xá ở tphcm rất tệ Và xuống cấp. tôi ở tphcm cũng lâu Lắm rồi bây Giờ chỉ muốn về quê.
9,mtrangg7773,ảng xếp hạng...là rất cần thiết!. để xác định nguyên nhân lý do khác nhau liên quan dẫn đến tình trạng điểm số...hoặc các tiêu chí...Để các Tỉnh Thành trong cả nước...nhìn nhận đánh giá sàng lọc...các nguyên nhân lý do khác nhau liên quan dẫn đến từ đó đưa ra các giải pháp biện pháp căn cơ triệt để nâng cao chất lượng hiệu quả Cải cách toàn diện rộng rãi hiệu quả chất lượng vượt trội...
10,Hoàng,à nẵng thứ 9 và chắc còn tụt nhiều bậc nữa. Tp tôi sống đây 5 năm nay xuống dốc quá
11,dhiep193,uảng Ninh rất thích hợp phát triển
12,doananhthuong,"ình đi công tác ở các tỉnh Miền Tây theo nhận xét của Mình thì Đồng Tháp là tỉnh có đường xá cơ sở hạ tầng tốt nhất, còn tỉnh tệ nhất là Long An, một Tỉnh gần TP HCM mà đường xá quá tệ, cơ sở hạ tầng nhết nhát!"
