No.,Author,Comment
0,dangvantung.dhcn,ên căn cứ vào số liệu này để phạt nguội
1,quangcthn96,"hưng cũng cần xem lại quy định tốc độ lưu thông tối đa xem có hợp lý không khi đường đẹp, rộng rãi vẫn giới hạn 60km/h."
2,Vũ Linh,"ứ cho là vi phạm tốc độ mức tối thiểu thì mức phạt bình quân là 5 triệu đồng 1 lần (coi như không có tình tiết tăng nặng).
2040 lần nhân 5 triệu 1 lần là hơn 10 tỷ rồi. Mua được mấy cái xe mới"
3,duong nguyen,"ệ thống giám sát của cục đường bộ như vậy là chuẩn đấy.
Đề nghị CSGT phối hợp phạt nguội và xử nghiêm những tài xế thường xuyên vì phạm và vi phạm nhiều ...
Tôi cũng chạy vài đời xe - Đôi khi cũng quá tốc độ ( Do quên để ý ... ) Nhưng tôi ghét những người chạy quá tốc độ nhiều - và thường xuyên vì phạm ..."
4,longnvfriendship,"ó gì đó chưa đúng. Theo cảm nhận của tôi thì nên xét ví dụ này. Trong một đoạn đường cấm tốc độ quá 60km/h. Nếu cứ nhấn ga lên 61km/h vào tích tắc nào đó để vượt qua chướng ngại, tránh sự cố ... Tôi nhấn mạnh là chỉ tích tắc thì ko nên xem đó là quá tốc độ. Hoặc tài xế ko thể khi nào cũng canh đồng hồ đo tốc độ. Nó có thể lên từ 58-62 gì đó là bình thường... Có lẽ nên xem lại thiết bị này."
5,Lê Hải,"ùng camera bắn tốc độ mới chính xác, GPS để tham khảo thôi, 2000 lần vượt tốc độ thì xác định bán nhà bán xe để trả."
6,tan,rình độ né cam phạt nguội của tài xế này hơi bị siêu
7,cubivt00,ấy mức phạt vi phạm tốc độ thấp nhất 900.000 VND / lần x 2040 .....Hy vọng bác tài vẫn mạnh khỏe
8,hahoangytb,"i phạm vài lần thì do người vi phạm, chứ vi phạm 2000 lần thì nên xem lại cả bên gt"
9,Yêu viet,ỗi ngày phạt 1 lần nhân lên...hãi ngay
10,tuongquangtu8887,ọc bài này các bác tài có biết sợ ko nhỉ.
11,nguoithaihoa,"hải xem lại khai niệm lần vì phạm. Ví dụ một người đi vượt tốc độ liên tục trong nhiều giờ liền thì bị vi phạm tốc độ 01 lần. Còn một người trong khoảng thời gian đó, đi vượt tốc độ nhiều lần thì tính là nhiều lần vi phạm. Khi xét 02 trường hợp trên thì trường hợp thứ nhất mắc lỗi nặng hơn nhưng hình phạt lại thấp hơn (vì chỉ 01 lần vì phạm)."
12,thanhhan10041977,ếu bị phạt thì bán xe không đủ để nộp
13,Thành Nhân Vũ,hìn phát biết ngay ý thức của lái xe!
14,vohuynhduydong06011986,e này gắn động cơ tên lửa .
15,phuongtruc138,000 lần. Thế mà cũng để
16,nguyent1952,"hải làm lái xe mới cảm thông được với trường hợp chạy quá tốc độ....đường tốt chạy giờ vắng người tham gia giao thông mà cứ chạy theo quy định thì rất khó chịu,mấy người theo dõi qua camera hành trình chỉ biết xe đang chạy quá tốc độ chứ có biết đấy là giờ nào đâu...phati nhiều quá rồi chả có người lái xe nữa đâu...đi bộ hết cho an toàn"
17,Khánh,"inh quá, chỉ nhẹ ga một chút, vượt quá tốc độ cho phép chút xíu thôi là cũng ăn đòn rồi, mai mốt nghề lái xe sẽ trở thành một nghề cực khó."
18,hiepnguyenthe988,"hưa có Luật lấy kết quả Giám sát hình trình ra Phạt nguội thì Chỉ dùng để Nhắc nhở .
Người dân điều khiển Phương tiện chạy quá tốc độ trong Thành phố hàng ngày hàng giờ
Chẳng có ai suốt ngày đi đúng đc nhất là vấn đề Tốc độ trong thành phố"
19,LÊ TẤN PHONG,ếu có camera phạt nguội thì nên sms hoặc email liền đến chủ xe. Bị cả ngàn lần mà ko cảnh báo khách.
20,Hảo Trần Công,uốn vượt xe khác nhiều khi cũng phải nhanh thêm 1 chút. Khó để tuyệt đối. Ai lái xe cũng biết.
21,hoho91111,ên phạt thật nặng những lỗi chạy quá tốc độ. Chỉ cần ví dụ về mấy xe bus trong nội thành HN thì khỏi phải nói. Phóng cứ vèo vèo. Mấy lần còn chơi tạt từ bên phải sang trái. Nhìn mà thấy chán
22,Daodao,"hấy rằng giao thông đường bộ ở mình còn nhiều hạn chế về đường sá, về ý thức của người lái xe. Tuy nhiên có rất nhiều tình huống phải tăng tốc để tránh nguy hiểm hay tránh các bác đi kiểu rùa bò, vậy hộp cảm biến ghi lại là có lỗi thì tội cho bác tài xế, vậy nên cần xem xét thời gian tài xế tăng vượt tốc độ là bao lâu thì mới tính là lỗi."
