No.,Author,Comment
0,Thanh Hà,iá cao quá nên chỉ dành cho những bà nội trợ có điều kiện. Cũng thích lắm nhưng không mua nổi ;(
1,hihihaha,"ực kỳ an tâm khi sử dụng các sản phẩm của Tupperware để đựng thực phẩm khô và rau, củ quả. Vừa bảo quan được lâu, vừa an toàn cho sức khỏe.
Hy vọng Tuppeware sẽ tìm được giải pháp để tiếp tục mang đến các sản phẩm tốt nhất cho người tiêu dùng."
2,oanh le,"hiều loại gia vị, loại hạt, loại bánh kẹo,.ngày nay nhà sản xuất đã đựng sẵn trong hộp, trong hũ, trong lọ khá đẹp. Dùng hết vẫn có thể dùng đựng những thứ khác, nếu không bỏ tái chế.
Cho nên những hộp đựng của hãng này tuy dễ sắp xết gọn gàng, đẹp mắt, nhưng giá rất đắt ít ai mua như trước kia.
Tôi thường mua khi giảm giá 75% mà cũng ít dùng ."
3,anhtim.367,ôi cần Tupperware
4,Mèo con,iá quá chát khi so sánh mức thu nhập của người dân Việt Nam.
5,thang.ngoba,hỗ mình làm có cửa hàng này dưới tầng 1. Thấy ông anh bán ở đó kêu bù lỗ mấy tháng gần đây. Mà đồ hãng giá chát thật.
6,Hongphuong,"hựa nguyên sinh nên giá sẽ chát. Mình cũng thích lắm mà không mua, đồ thủy tinh dùng cũng okie rồi"
7,Người quan sát,"iá quá cao so với mặt bằng thu nhập của các nước đang phát triển như Việt Nam. Còn các nước phát triển thì người dân ngày càng mất thiện cảm với đồ nhựa, chuyển sang dùng đồ thủy tinh, đồ gỗ an toàn cho môi trường và bản thân hơn. Sản phẩm này nói chung là không còn chỗ đứng nữa."
8,npt3591,"ình được tặng một bộ, khách quan mà nói thì ngoài màu sắc xinh, mình không cảm nhận được sự khác biệt lắm của nhựa nguyên sinh, mình vẫn thích thủy tinh hoặc hộp nhựa trong, dễ nhìn và dễ lấy thực phẩm trong tủ lạnh, đã thử để cùng một loại rau trong cùng thời gian thì kết quả ko khác nhau là mấy, nói chung tupperware được nhiều người thích nhưng mình thì cảm thấy giá quá chát so với chất lượng, ý kiến cá nhân thôi nhé"
9,Anh Dao Nguyen thi,ứ để người Mỹ họ sài!!!
10,Majime Na Hito,"há sản là cái chắc, hiện tại không có nước nào đủ khả năng xây dựng một hệ sinh thái đồ gia dụng bình thường cho đến điện tử chất lượng như Trung Nhật Hàn."
11,dieptn,"iá quá đắt so với đồ nhựa của 1 số thương hiệu Nhật, quảng cáo thì rầm rộ, đại lý mở nhiều nhưng ko nhiều người mua, như chỗ làm của tôi có khoảng 30 chị em nữ thì có duy nhất 1 người đang dùng của hãng này"
12,Andy Do,"hảo gang thì không có gì thay thế được nó nên mấy hãng đó sống tốt. Chứ hộp nhựa thì mua ba cái keo thuỷ tinh đựng quá ok rồi. Không thì đồ sứ bình dân cũng đẹp.
Sản phẩm thay thế qua nhiều và rẻ, lợi thế cạnh tranh ko có. Die là tất lẽ dĩ nhiên"
