No.,Author,Comment
0,nick,"hông đóng thì phạt, truy thu, mà đóng rồi giờ muốn lấy thì phải mắc võng trải chiếu qua đêm, nhìn mà tội"
1,trungtcc3,"hời đại 4.0 mà vẫn phải xếp hàng, app VssID đâu, sao không cho người dân đăng ký rút trên đó rồi chỉ việc tới đưa điện thoại ra xác nhận xong đợi 15 ngày gì đó chuyển khoản cho người đó"
2,Phuc Phuyen,óng vào thì dễ rút ra thì trần ai.
3,hoanganhkiet2050,"hi cuộc sống quá khó khăn, lương làm không đủ sống, họ và trong đó có cả tôi sẽ nghỉ đến việc rút bảo hiểm 1 lần. Cuộc sống của chung ta hôm nay cần ăn để sống tiếp cho ngày mai. Ai cũng muốn về già không nhờ đến người khác nhưng liệu ta sống nổi vài tháng hay ít năm với cái bụng đói nhà thì thiếu trăm bề cái gì cũng cần tiền ?"
4,Loan,"ái oăm! Nộp dễ, rút khó!"
5,HT (king.pacific74),"ảo hiểm ta đóng đàng hoàng
Đến khi thất nghiệp bàng hoàng ngộ ra
Đóng dễ rất khó rút ra
Thức đêm chờ đến lượt ta xếp hàng
Một năm chờ đợi ngỡ ngàng
Rút tiền khó quá lệ tràn đẫm mi !"
6,truongtlg,"ôi thấy nên giảm tuổi nghỉ hưu xuống là 55 tuổi đối với nam và 53 tuổi đối với nữ, có thể giảm số tiền lĩnh hưu xuống cũng được, chứ để NLĐ chờ đến 62 tuổi mới nhận trong khi công nhân đến 55 tuổi là không thể làm công nhân trong nhà máy hay xây dựng ngoài công trường được nữa rồi."
7,123,ại sao 1 ngày chỉ nhận 20 hồ sơ?
8,ngvanlam35,ỗi ngày cơ sở chỉ nhận giải quyết hơn 20 hồ sơ là quá ít. ngành BHXH cần đơn giản thủ tục để giải quyết cho nhanh hơn
9,Ngọc Anh,"óng cũng là của người dân, mà rút cũng là người dân. Mà sao giải quyết cho họ thủ tục rườm rà quá vậy?  "
10,Phat Nguyen,iền của mình đóng vào mà giờ rút ra khó quá
11,daoquanganh,"iờ luật BHXH chỉ cần quy định số năm đóng bảo hiểm, bỏ tuổi đi là giải quyết được mọi vấn đề."
12,Lê Hải,"gười công nhân vất vả quá, họ là người trực tiếp tạo ra lợi nhuận cho doanh nghiệp và các nguồn thu khác."
13,Phat Nguyen,"hững thủ tục này hoàn toàn có thể được số hóa và khai báo qua mạng, tiền chỉ chuyển vào tài khoản trùng với căn cước công dân của người khai báo"
14,Bình Trần,ao ko để hình thức đăng kí ol. Mỗi người đều có app rồi mà. Tội người dân.
15,nghiemtri1984,ôi đã làm điều này hơn 5 năm trước rồi
16,anh ba,ảo sao người dân không hứng thú với bhxh?? Nếu không bắt buộc chắc ít người chịu tham gia!!
17,trungtuyen938,"ợ mình làm thủ tục rút bhxh 1 lần và nộp qua đường bưu điện nhưng bị trả lại và yêu cầu phải đến trực tiếp làm.
chả hiểu cơ quan bảo hiểm hướng dẫn kiểu gì chứ để người dân xếp hàng thế này thì tội quá"
18,ntkha1985,"ỗi ngày giải quyết hơn 20 hồ sơ, tính ra mỗi giờ được 3 hồ sơ? Vậy mỗi trung tâm có mấy người làm thế? Chắc 1 quá, kì vây."
19,PL,hãn tiền của việc đóng BHXH đấy. Tiền của mình mà đi lấy khổ như vậy thì ai mà muốn đóng? Tôi còn một khoản BHXH tự nguyện mà vẫn chưa lấy ra được đây.
20,Hung,"iền trong túi mình là của mình
Tiền của mình trong túi họ Là tiền của họ.
Không ai cho Không mình cái gì Họ làm gì , nói gì cũng vì mục đích kinh doanh
Họ kinh doanh nhằm thu lợi nhuận chứ họ không kinh doanh nhưng mang lợi nhuận cho mình."
21,vanlap1422,"hổ chưa , không đóng thì truy thu , đóng rồi thì mòn mỏi mới rút được . Lương thì thấp giá cả thì cao ? Ai hiểu nổi khổ này"
22,Thinh ngo,ấy tiền của mình mà trông thật khổ sở.
23,Tan Phat Doan,ông ty đóng BHXH trễ có 1 tháng mà bên này hoạch hoẹ đòi bắt phạt chậm nộp lãi suất. Trong khi lúc lấy tiền ra thì bắt chờ đợi dài cổ.
24,coffevt,"hi vào bốc thăm thì cứ xác định đến mai chưa chắc đã tới lượt, khi tới lượt sẽ được phát hàng tá giấy tờ yêu cầu kê khai những thứ không liên quan đến mình ví như bhyt của cả gia đình mà làm sao mình nhớ mà khai?
Khi khai mà có bất kỳ sai sót gì thì xem như khai lại từ đầu.
Bản thân tôi kiến nghị lên cơ quan bhxh nên thay đổi:
1. Đóng bhxh thì sẽ được giải quyết ở bất kỳ đâu trên cả nước
2. Ai đóng thì chỉ cần chính chủ người đó khai báo là được đừng lôi họ hàng vào mất thời gian."
