No.,Author,Comment
0,Lâm Đặng,"ôi đề xuất cần siết chặt lại người bán bảo hiểm bằng cách tổ chức kỳ thi cấp giấy chứng nhận toàn quốc, ai đậu mới được hành nghề. Chứ hiện nay tuyển dụng tràn lan, đào tạo sơ sài, dẫn đến người bán thiếu kiến thức, bản thân họ cũng không hiểu chính xác nên tư vấn tầm bậy."
1,nguyentiengiangnt,"ới 100 trang hợp đồng ,đang thắc mắc những câu từ nào sẽ được cài cắm trong đó?"
2,toailx6987,"ừng là nhân viên bán bảo hiểm thất bại. Tôi bị quản lý nhắc nhở nhiều lần không được tư vấn kỹ, phải làm theo kịch bản, miễn sao khách hàng đồng ý mua và ký hợp đồng. Việc của em là ra được hợp đồng, sau đó của khách hàng với công ty."
3,haolai.tc,"Thị trường bảo hiểm Việt Nam bị đẩy đến tình trạng bát nháo hiện nay là do các công ty bảo hiểm, suốt một thời gian dài, đã đẩy khách hàng vào kênh đầu tư tài chính thay vì quan tâm tới giá trị cốt lõi của sản phẩm bảo hiểm""
Rất đúng thấy mọi người chỉ nghĩ đến quyền lợi của mình cụ thể là tiền của mình sẽ nhận được sau bao nhiêu năm đóng tiền cho bảo hiểm cụ thể là e Ngọc Lan mà không biết bảo hiểm không phải là kênh ""đầu tư tài chính"" mà chỉ là kênh để ""kiểm soát rủi ro tài chính""."
4,tuenguyen000323,ũng một phần là tâm lý người mua bảo hiểm thích xem bảo hiểm là kênh đầu tư và hay đem nó so với gửi tiết kiệm.
5,nguyentho921,̉ VN chỉ duy nhất bảo hiểm y tế và hết.
6,thanh long,"ôi có thắc mắc thế này nếu vợ chồng tôi mua BHNT và người thụ hưởng là con chúng tôi ( 5 tuổi) và không may chúng tôi gặp tai nạn chết đi thì công ty BH có tự tìm đến người thân của chúng tôi để kích hoạt điều khoản hay không? chứ những người thân khác không biết chúng tôi đã mua BH hoặc chúng tôi không có người thân khác thì sao, con tôi còn nhỏ thì làm sao biết mà đi làm thủ tục nhận BH ."
7,nguyen.thanh.toan8574,"ua bảo hiểm nhân thọ tức là đem tiền đi cho nhân viên tư vấn và Cty BH. Tốt nhất là không mua, đỡ tồn tiền, đỡ phiền phức."
8,tranhuuhai79,"anh chị tôi cũng có bảo hiểm trách nhiệm nhân sự bắt buộc khi đi xe máy, nhưng chưa bao giờ họ biết phải gọi đến ai khi gây hoặc bị tai nạn, mà thường tự dàn xếp"" BH xe máy là trường hợp đặc biệt ngoại lệ"
9,Thói Đời,"ạn có chiếc ô tô, bạn mua bảo hiểm thân xe, bạn va quẹt vài lần. Khi đáo hạn hợp đồng bảo hiểm coi công ty bảo hiểm có muốn bán cho bạn nữa không? Vậy thì hiểu mục đích của công ty bảo hiểm là gì."
10,Cao Hiếu,"ảo hiểm bị biến tướng trờ thành sự ""lừa đảo câu chữ"", mục đích người bán là bán được sản phẩm thu được tiền, còn người mua không hiểu mình mua được cái gì."
11,Quê Hà Nội,"ạn chưa mua thì sẽ được đối tác ""tư vấn"" rất nhiệt tình giải thích cặn kẽ , nhưng nếu xảy ra sự cố thì chỉ một mình bạn cố mà đọc mà hiểu . Chắc chắn thì bạn cũng đủ điên cái đầu của mình rồi . Đọc và hiểu HĐ hay tương tự như các văn bản không phải ai cũng hiểu được ""chữ nghĩa"" đâu nhé , cái này phải qua LS ."
12,Vĩnh Long,"ống lành mạnh, ứng xử trung hậu, đối đãi thật lòng, chăm làm việc thiện ... chính là cách tránh được hoạn nạn trong đời. Đó cũng là cách mua... bảo hiểm mà khỏi tốn tiền khỏi mệt óc!"
13,vokimthuong999,"ần phải xiết chặt BH, ai bán BH tư vấn sai phải bồi thường thiệt hại cho người mua, Công ty BH nào làm sai thì phải bồi thường và nhà nước rút giấy phép không cho kinh doanh BH. Tất cả người dân ai đã mua BH hợp đồng BH có bị sai sót cho người bán và do Công ty BH thì phải thông tin lên báo đài để người dân biết và báo với cơ quan chính quyền vào cuộc xử lý tránh thiệt hại cho dân."
