No.,Author,Comment
0,XCravinManiac,"hế là hợp lý, tuy nhiên nên có kiểm tra định kỳ hằng năm, toà nào không còn đáp ứng tiêu chuẩn thì bắt buộc phải xử lý tùy theo tình trạng thực tế như là tu bổ, sửa chữa hoặc... tháo dỡ xây mới..."
1,Tobicom_00_,"út thắt là quy định khi chung cư khi hết thời hạn sử dụng công trình sẽ phải giải quyết như thế nào, tập trung giải quyết vào vấn đề này là chuẩn xác. Việc đánh đồng quyền sở hữu với thời hạn sử dụng công trình không những không giải quyết được nút thắt nêu trên mà nó còn sinh ra nhiều hệ luỵ tiêu cực hơn đối với việc phát triển nhà ở, ổn định và nâng cao đời sống xã hội."
2,Mùa đông không lạnh,"ếu không quy định sở hữu có thời hạn, thì lại phải quy định khi tòa nhà xuống cấp, kiểm định không đủ an toàn thì yêu cầu cư dân phải tự góp tiền xây lại theo đúng diện tích cũ
Chứ không thể để tình trạng nhà xuống cấp đòi sập, lại đòi phải được cấp lại nhà mới với diện tích 1-1.5 lần diện tích cũ như hiện nay"
3,Anh Tú,"hỉ cần quy định gắt hơn với ban quản trị, ban quản lý chung cư về việc duy tu, bảo trì hằng năm là được, bộ phận chuyên trách từ chính quyền sẽ kiểm tra định kỳ hằng năm. Trước mắt là như vậy, chứ thời điểm này mà thay đổi luật về đất đai nhà ở nhiều quá thì không phù hợp."
4,Lnk, năm kiểm tra chất lượng định kỳ 1 lần là ok.
5,Nguyen van tuan,"ke, đây là đề xuất hợp lòng dân và mang tính thực tế ! Duy trì sức mua với chung cư để ngành bất động sản thoát khủng hoảng"
6,Ban Sung Hai Tay,"uy định thật chặt chẽ chất lượng nhà chung cư, khi nào thì phải phá đi xây lại, những người ở chung cư đó trách nhiệm quyền lợi gì khi phá đi xây lại. Tăng cường xây dựng nhà chung cư cho thuê cho tương lai thế hệ từ 2x trở đi."
7,namhoailee80,"hay vì quy định sở hữu chung cư có thời hạn, thì Nên quy định Hạn sử dụng chung cư và trách nhiệm của chủ đầu tư, cư dân, ban quản trị trong bảo trì bảo dưỡng, sửa chữa chung cư trong thời hạn sử dụng. Hết hạn sử dụng thì có quy chế xây mới."
8,Hoàng Việt Hà,"uật quy định chung cư có thời hạn sử dụng nhất định là hợp lý, sau khi hết hạn cư dân của chung cư phải góp tiền để cải tạo hay xây mới vì không cái gì là mãi mãi, nếu không có luật rõ ràng, những chung cư bây giờ cao vút không xây lại đúng thời gian thì hậu quả không tính được."
9,cuong ly,"oàn toàn ủng hộ nội dung trên để tháo gỡ khó khăn cho người mua chung cư, tuy nhiên phải có qui định chặt chẽ, đầy đủ về sử dụng, bảo dưỡng, sửa chữa và làm lại mới khi nhà xuống cấp"
10,ngocchau2603,"ẫn cần ra quy định sau bao lâu thì cứ dân sẽ phải đóng góp để cải tạo, hoặc thậm chí xây mới lại những căn nhà xuống cấp"
11,van.ho272,"hư vậy là thấu tình đạt lý, giúp người dân ở các đô thị yên tâm mua nhà chung cư với tầm tiền hợp lý hơn so với nhà riêng lẻ trong các khu dân cư cũ - vừa quá đắt, vừa thiếu tiện ích công viên, khu sinh hoạt cộng đồng, và đường đi lại chật hẹp, chỗ to chỗ nhỏ do các hộ dân lấn chiếm."
12,Ý Tưởng Quang,"ẫn chưa có giải pháp nào cho trường hợp chung cư quá xuống cấp, mức độ nguy hiểm cao, và người vẫn sống trong đó."
13,catbaexpressplus,"hi chung cư xuống cấp, gây nguy hiểm và mất mĩ quan đô thị thì sẽ xử lý thế nào, quyền lợi và trách nhiệm của người sở hữu cũng như trách nhiệm của nhà nước ra sao?"
14,Nguyễn Huy Tùng,ồi đến lúc chung cư cũ hỏng lúc đó vận động người dân làm sao để 100% người dân đóng tiền. Vì đâu phải lúc đó ai cũng sẵn tiền đâu cứ nhìn mấy tập thể cũ tại hà nội thì biết toàn người già bảo góp tiền xây chung cư thì họ lấy đâu ra.
15,danhuy2509,hế thì nan giải cho nhà đầu tư và nếu có chắc một điều giá căn hộ cũng không còn đúng với từ của nó.
16,a2kt.email,"ở hữu vĩnh viễn là đúng rồi. Hợp lòng dân lắm. Cần bổ sung kiểm định chất lượng theo định kì, và trách nhiệm của chủ đầu tư trong việc hoàn thành nghĩa vụ thuế với nhà nước, đảm bảo quyền lợi cấp sổ hồng cho chủ căn hộ."
17,nguyenquanghoahb,hông có thời hạn sử dụng chung cư thì tâm lý người mua thoải mái nhưng khi chung cư xuống cấp thì việc cải tạo và nâng cấp hết sức khó khăn và người ở trong các chung cư hết sức bất an
18,NguyenTran,oan hô Bộ đã lắng nghe ý kiến đại đa số!
19,hiepvtdni,ề chung cư có thời hạn là đúng và cần thiết. Vì ko có công trình nào là mãi mãi. Tuy nhiên để vừa có cơ sở pháp lý vừa đảm bảo quyền lợi của nhân dân. Tôi đề xuất giải pháp như sau. Chia cấp giấy theo giai đoạn. Giai đoạn đầu cấp 1 lúc 50 năm. Khi hết hạn nhà nước sẽ kiểm định lại cấp thời hạn 10 năm hoặc 5 năm tùy theo căn chung cư đó. Và nhà nước ra bộ tiêu chuẩn chung để áp dụng.
20,bhu adier,"ở hữu chung cư có thời hạn cũng được
Chỉ cần trên Văn bản pháp lý các Bộ ngành liên quan và Hợp đồng mua bán ghi rõ số năm sở hữu là được (ghi chi tiết ngày ... tháng...năm ... căn hộ sẽ phá bỏ)
Để khách hàng người mua quyết định có mua hay không"
21,quocvietdesign83,hung cư thì không thể sở hữu như sở hữu đất được. Cần có quy định sử dụng chung cư riêng.
22,hytota0304,"hông quy định thời hạn sở hữu cũng được nhưng phải có quy định về việc phá dỡ, xây mới nhà chung cư đã xuống cấp nguy hiểm và áp dụng cho tất cả chung cư có từ trước đó.

Nếu đã được kết luận là nguy hiểm thì phải phá dỡ, xây mới mà không cần đạt 100% đồng thuận của cư dân tại chung cư"
