No.,Author,Comment
0,phongnyk,úng. Nhưng hạn chế là chỉ kiểm định xe cá nhân. Các xe kinh doanh vận tải vẫn phải kiểm định ở các trung tâm kiểm định chuyên nghiệp
1,Chien Tran,ng hộ dự thảo để cho các đại lý bán xe cũng như bảo dưỡng chịu trách nhiệm đăng kiểm sẽ giảm tải rất nhiều.
2,phuot73,ên áp dụng ngay và luôn nhé
3,Don Qzx,"oan hô Bộ GTVT, ủng hộ 100%."
4,vulamhoang1503,"úng rồi, trc tiên cấp cho các cơ sở của các hãng trước"
5,Nhannguyen568,", Những nước phát triển (sản xuất, sáng chế ra ôtô) đã làm như vậy rất lâu rồi.
2, Bây giờ các phụ kiện thay thế rất nhiều, không như ngày xưa. Nên đưa các xe gia đình trên 20 năm tuổi đăng kiểm 2 năm/ lần. Vụ xe tông 17 người, xe này năm sx rất mới. Tai nạn là do con người điều khiển là chính. Hãy nhìn nhận vấn đề thực tế, tích cực hơn."
6,20304014,"e ôtô điện đi đăng kiểm tính lượng khí thải ra bao nhiêu là đạt. Em băng khoăn quá, rối quá vì xe em thải ra khí gì á chứ không phải CO2!"
7,nhattuan.spkt,"uá hợp lý. Đối với các Trung tâm sửa chữa của các hãng xe, do đặc thù xe của hãng đó chế tạo nên họ nắm rất rõ các yếu tố kỹ thuật, an toàn, tiêu chuẩn. Vì vậy, họ có thể kiểm định được. Tuy nhiên, cần yêu cầu các tiêu chuẩn kiểm định thật chặt chẻ và cũng hợp lý để tránh các trung tâm bên ngoài chặt chém giá..."
8,hvkhaivnm.cnct,"hính xác và hoàn toàn phù hợp. Bởi lẽ, các kỹ sư của các hãng bảo dưỡng khi được tuyển dụng là những người có kiến thức, thêm va chạm thực tế thường xuyên và chuyên sâu hơn thì thừa sức kiểm định xe."
9,lamtram08,ong dự thảo được thông qua
10,thanhanbsdl,"ất đúng, nên làm càng sớm càng tốt. Nên đây có đầy đủ phương tiện và nhân sự để kiểm định. Chủ xe có thêm lựa chọn nơi thực hiện đăng kiểm"
11,huynhthanhquocviet,"ếu vậy xe mới đâu cần đi kiểm định, vì xe mới đã được các hảng kiểm định ttrước khi xuất xưởng!"
12,Quy Tran Ngoc,ng hộ ý kiến này
13,ngocthangkt.88,"e con xe cá nhân biển trắng thì cứ giao cho đơn vị bảo dưỡng xe đạt tiêu chuẩn như các đơn bị bảo dưỡng xe theo định kỳ của hãng, còn xe dịch vụ biển vàng thì ra trung tâm đăng kiểm . sẽ giảm rất nhiều áp lực cho đơn vị đăng kiểm"
14,✅inf0♻️,hanh nhanh cho tui nhờ. Xe tôi sẽ hết hạng đăng kiểm vào 31/05 này mà giờ liên hệ chỗ nào (kể cả 3 tỉnh lân cận) thì cũng đều báo lịch đã đầy đến 15/06 ? Giờ chẳng biết làm sao luôn nè
15,alibaD,"ợp lý,"
16,hiepsy,"ãng xe lớn thì được, còn gara nhỏ thì thôi."
17,diepatvstpub,"hải học các nước mà làm, đơn giản hóa thủ tục nhưng phải nghiêm túc trong kiểm định chất lượng...."
18,Nguyễn Duy Chỉnh,ay quá. Tôi tin sẽ hết tiêu cực mà chất lượng tốt hơn nhiều.
19,xuantung0509,"ng hộ Áp dụng chỉ cho những trung tâm bảo dưỡng của hãng kiểm định, và nếu có mấy trường hợp ""mất thắng"" ""mất lái"" gì đó cũng có cơ sở để quy tội, không đổ thừa được. "
20,Tan Nguyen,"ôi cũng đồng ý với ý kiến bộ GT đưa ra, thế nhưng đối với xe chở khách và xe tải thì phải cần tính toán kỹ hơn!"
21,Thanh Le Manh,ề xuất này rất hay!
22,cttc2215,"ôi đang e ngại vấn đề khi giao cho các cơ sở bên ngoài kiểm định:
1. Họ làm qua loa và dán tem, ai kiểm chứng được hoặc có khi giữa chủ xe và họ có ""thỏa thuận ngầm"".
2. Họ tìm cách bắt bí, tạo độc quyền, đẩy giá phụ tùng, buộc sửa cả những cái ko cần thiết hoặc thay các thiết bị còn tốt.v.v. yêu cầu phải theo ý họ thì họ mới kiểm định."
23,swp9x5jgsx,ôi mong được như thế. Xe tôi 10000km là đã vào hãng thay nhớt với bảo dưỡng rồi. Tôi tin các hãng lớn họ không thể kiểm tra qua loa được. 
24,Phạm Toàn,ước ngoài người ta làm vậy lâu lắm rồi.
