No.,Author,Comment
0,Chau,hải chia sẽ với cty chứ. Mới vậy mà dừng việc là sao. Cty tồn tại mình mới có cv.
1,Chú vẹt Basten,"uốn làm như vậy thì công ty phải có quy định từ trước, và cũng phải có biện pháp xác định rõ lỗi cụ thể của ai. Khó quá thì ít nhất cũng phải chia tổ và tính toán tỉ lệ lỗi của tổ rồi trừ theo tổ, chứ khơi khơi đem 300 người ra trừ lương thì rất vô lí."
2,Minh,àng tốt thì công ty hưởng. Hàng hỏng thì công nhân chịu.
3,Ship Bơ,"hời buổi khó khăn không nên ép doanh nghiệp quá, năm nay thất nghiệp tăng cao quá rồi"
4,A Hoàng.,ếu tính như cách của công ty thì lợi nhuận của công ty cũng phải chia cho công nhân chứ.
5,nvdong79,hứ nhất công nhân phải biết mình đang làm gì và như thế nào là sản phẩm đúng. Thứ 2 cty có bộ phận KCS nên trách nhiệm lớn. Thứ 3 cty có vấn đề trong khâu đào tạo cán bộ công nhân ..và kỷ luật lao động. Còn khi sảy ra cứ theo chức năng nhiệm vụ mà phạt. Tuy nhiên tiền phạt phải được trải dài ra nhiều tháng và xét đến ý thức nhận trách nhiệm và sửa lỗi để giảm tiền phạt...
6,menlangvayquangbi,àm ra hàng bị lỗi thì cty trừ vào lương là đúng rồi còn gì nữa. Hơi tý là đình công như vậy là ko ổn rồi
7,minhquanbrvt,rừ lương thì vi phạm pháp luật. Công ty có thể phạt bằng cách không xét tăng lương/ tăng thấp cho nhân viên lỗi nhiều hoặc giảm tỷ lệ thưởng cuối năm.
8,quang tran,"àng lỗi là bao nhiêu %, trong sản xuất thường có kiểm theo ngẫu nhiên hoặc tần số. Nếu không phát hiện ra lỗi thì người QC-QA kiểm tra chất lượng phải chịu trách nhiệm. Có đối tác đặt hàng còn chấp nhận lỗi trong khoảng bao nhiêu sản phẩm thì không bắt đền cty sản xuất nữa kia, chỉ gửi trả hàng lại để sửa thôi."
9,trananhtuan131481176,ừng trách lần sau công ty quản lý khắc khe chất lượng sản phẩm
10,huy nhat,"ếu muốn người công nhân chịu trách nhiệm cho hàng lỗi hàng sai, thì cũng nên có chế độ thưởng nếu hàng làm đạt và lương của họ cũng phải bao gồm luôn cả lợi nhuận, nói nôm na là lương bao gồm phần chịu trách nhiệm . không phải cứ muốn trừ là trừ đâu."
