No.,Author,Comment
0,Konan,"ó khi số nhiễm thực tế nhiều hơn nhiều vì giờ chẳng mấy ai đi test nữa kể cả có biểu hiện bệnh. Chấp nhận sống chung với Cô Vy thôi. Điều quan trọng nhất là giữ gìn thể trạng khoẻ mạnh, tránh lối sống hao tổn hay bia rượu nhậu nhẹt."
1,Tuan Anh,y vọng không có biến chủng mới nguy hiểm!? Dịch chưa bùng phát mạnh nhưng bà con cũng nên cẩn thận đeo khẩu trang khi tiếp xúc đông người và rửa tay thường xuyên.
2,Thu,"ô thang máy trong chung cư, ra chợ, vô siêu thị, đâu còn thấy ai đeo khẩu trang nữa đâu !"
3,ngahang5493,"hực trạng hiện giờ mọi người đã coi covid như 1 chủng cúm mùa nên ít người test hoặc test dương tính mà không khai báo chỉ tự cách ly và điều trị tại nhà, khi thấy triệu chứng nặng mới đến các cơ sở y tế"
4,Mamud Salam,ôi muốn tiêm vaccine mũi 5 mà không có nơi nào cho tiêm....
5,dangthiloanhoami3,"ây giờ mà còn test nữa thì thua r, chỉ có cách ăn uống - tập thể dục đều đặn, lối sống và suy nghĩ tích cực, nâng cao sức đề kháng cho cơ thể."
6,tungvominh1611,hưng giờ Covid chỉ bị nhẹ như cúm bình thường thôi. Tôi vừa bị 2 tuần trước.
7,test,"hiều văn phòng covid vẫn lây lan ầm ầm, nghỉ rồi đi làm lại chứ có đưa vào thống kê đâu. Hoạ chăng đáng quan ngại nếu số ca nằm viện tăng đột biến"
8,Mr. V,"iờ covid cũng chả ai test, cứ cho đó là cảm cúm rồi này kia thành ra tự đi mua thuốc uống.
Sống chung vậy."
9,Hiếu,ôi hỏi que test ở hiệu thuốc thì người ta bảo giờ ko có bán rồi.....
10,Đặng Vân,a sân bay cũng rất ít người đeo khẩu trang. Nên cân nhắc qui định đeo mask trở lại trên máy bay.
11,Huy Ha,"oi như cúm mùa thôi, giờ giao mùa thời tiết giúp virus lan truyền nhanh, ai ốm thì ở nhà nghỉ ngơi chứ đâu có xét nghiệm rồi chẳng lẽ cách ly"
12,cdsaz23456, thức kém là nguyên nhân bùng phát
13,petopham,ãy công bố công khai đến từng phường xã để người dân toàn thành phố biết cảnh giác đề phòng.
14,ktsngokhoi87,"ả cty mình mới bị, mình cũng bị đang phải cách ly cty chưa về, ko biết lây cho vợ con chưa. với trẻ con vẫn phải cẩn thận"
15,Người nhà quê,"hớ hồi năm 202, khi có dấu hiệu xuất hiện covid cũng tầm này, đến khi dịp lễ 30/4 qua đi là bão covid bùng lên dữ dội..."
